County,Population,Population Change Since 2014,Median Age,Population Under Age 18,Population Aged 65+,Veteran Population,Agricultural Land,Percent Change in Ag Land since 2017,Number of Farms,Percent Change in Num of Farms since 2017,Broadband Internet Access 2022 ,Broadband Internet Access 2019 ,Computing Device Access 2022 ,Computing Device Access 2019 ,Percent Children in Poverty,Average Weekly Wage,Per Capita Income 2022,Gross Domestic Product 2022,Gross Domestic Product 2021,Pre-K Enrollment 2023,Pre-K Enrollment 2022,K-12 Current Expense Funding per pupil,Total Funding for K-12,Opportunity Youth 2022,Opportunity Youth 2019,Adults Without a High School Diploma,Educational Attainment,Food Insecurity 2022,Food Insecurity 2021,Traditional Medicaid Enrollment %,Medicaid Expansion Enrollment %,Uninsured Residents 2021,Uninsured Residents 2020,"ER visits for Drug Overdose Per 100,000","Overdose Deaths Per 100,000",Property Tax Rates 2024,Property Tax Rates 2023,Property Tax Levy Per Capita,Taxable Property Valuation Per Capita,Sales Taxes
Hyde,4490,-929,46.39,0.1661,0.247,0.049,112445,-0.0995,123,-0.1087,0.71,0.56,0.63,0.59,0.283,781,48593,178,182,0.6875,0.9545,3821,1.71,0.1866,0.1471,0.2406,0.3475,0.216,0.149,0.3157,0.0902,0.195,0.175,41,20.3,0.92,1.045,2248.7,215188,0.0675
Iredell,207682,39622,42.26,0.1943,0.1782,0.046,119481,-0.104,894,-0.1526,0.92,0.83,0.87,0.85,0.121,1198,64437,10582,10429,0.5132,0.3842,2314,72.02,0.1216,0.1264,0.0879,0.5446,0.128,0.102,0.2399,0.06,0.117,0.126,146,26.4,0.5,0.5,1007.2,201437,0.0675
Jackson,43308,2495,38.86,0.1583,0.2182,0.0653,22208,0.4119,236,0.0977,0.76,0.71,0.77,0.76,0.186,896,44870,1629,1629,0.3769,0.2366,2549,9.42,0.0533,0.0892,0.1486,0.4307,0.17,0.141,0.2615,0.0886,0.18,0.202,102,52.3,0.38,0.38,1078.7,283873,0.07
Johnston,249714,68170,39.55,0.2201,0.1468,0.0523,174111,-0.05,964,-0.0931,0.83,0.78,0.85,0.84,0.136,1007,49672,7726,7502,0.3227,0.2965,2211,88.5,0.1385,0.1294,0.0921,0.5184,0.127,0.105,0.2761,0.0581,0.129,0.126,115,33,0.67,0.69,787.3,114102,0.0675
Jones,9098,-817,42.39,0.1932,0.2435,0.0935,66287,0.0097,126,-0.2881,0.74,0.59,0.72,0.67,0.274,888,48585,220,224,1.24,1.1639,1730,1.7,0.2002,0.1672,0.1261,0.3692,0.16,0.149,0.3727,0.0953,0.168,0.17,276,63.7,0.74,0.74,943.3,127469,0.07
Lee,67613,8126,39.26,0.225,0.1859,0.066,31204,-0.1128,264,0.056,0.75,0.74,0.8,0.79,0.238,1003,49622,2816,2784,0.7116,0.6927,1952,20.13,0.1191,0.0976,0.1398,0.4308,0.163,0.131,0.3161,0.0829,0.16,0.156,236,61.5,0.65,0.65,926.2,142493,0.07
Lenoir,53509,-4197,41.88,0.2154,0.2234,0.0787,136277,0.1985,352,-0.0881,0.78,0.75,0.72,0.73,0.317,929,51039,2867,2794,0.3995,0.3767,1198,9.9,0.2002,0.1693,0.1523,0.3501,0.181,0.161,0.4575,0.1196,0.14,0.135,154,39.3,0.845,0.845,730.7,86476,0.0675
Lincoln,98348,19118,44.82,0.1883,0.1968,0.0543,49038,-0.0932,552,-0.101,0.89,0.83,0.83,0.82,0.113,1018,58227,3167,3068,0.781,0.727,1920,26.82,0.1529,0.1612,0.0929,0.4875,0.136,0.112,0.2358,0.0659,0.122,0.125,223,38.3,0.499,0.499,992.9,198980,0.07
Macon,38539,3958,49.65,0.1713,0.3061,0.0737,21973,0.1112,346,0.0176,0.79,0.75,0.75,0.77,0.186,879,48309,1555,1557,0.5926,0.6378,N/A, N/A ,0.0532,0.0747,0.1158,0.4193,0.167,0.144,0.2848,0.0886,0.165,0.159,67,53,0.27,0.27,918,339994,0.0675
Madison,21453,317,46.3,0.1671,0.2542,0.0625,42763,-0.2466,535,-0.1628,0.79,0.73,0.77,0.74,0.212,821,44497,1616,1569,0.5476,0.5161,1448,3.08,0.1279,0.1371,0.0799,0.5181,0.158,0.133,0.312,0.0987,0.118,0.126,41,59.8,0.36,0.5,687,137397,0.07
